A- 	not, without
Chasuble	Loose sleeveless usu. Ornate outer vestment worn by a celebrant at mass or the eucharist.
Chat	talk in a light familiar way.
Chat	pleasant informal talk.
Chat	any of various songbirds.
Chat	Chat to, esp. Flirtatiously or with an ulterior motive.
Château	large french country house or castle.
Chatelaine	mistress of a large house.
Chatelaine	hist. Set of short chains attached to a woman's belt, for carrying keys etc.
Chatline	Telephone service which sets up a conference call among youngsters.
Chat show	Television or radio broadcast in which celebrities are interviewed informally.
Chattel	(usu. In
Chattel	) Movable possession.
Chatter	talk quickly, incessantly, trivially, or indiscreetly.
Chatter	Emit short quick sounds.
Chatter	click repeatedly together.
Chatter	Chattering talk or sounds.
Chatterbox	Talkative person.
Chatty	fond of chatting.
Chatty	resembling chat.
Chatty	Chattiness
Chauffeur	person employed to drive a car.
Chauffeur	Drive
Chauffeur	as a chauffeur.
Chauvinism	exaggerated or aggressive patriotism.
Chauvinism	excessive or prejudiced support or loyalty for one's cause or group.
Chauvinist	person exhibiting chauvinism.
Chauvinist	man who shows prejudice against women.
Chauvinist	Chauvinistically
Cheap	low in price; worth more than its cost.
Cheap	charging low prices; offering good value.
Cheap	of poor quality; inferior.
Cheap	costing little effort and hence of little worth.
Cheap	Cheaply.
Cheap	Cheapness
Cheapen	Make or become cheap; depreciate, degrade.
Cheapjack	Seller of inferior goods at low prices.
Cheapjack	Inferior, shoddy.
Cheapskate	Esp. Us
Cheapskate	Stingy person.
Cheat	deceive or trick.
Cheat	deprive of.
Cheat	gain an unfair advantage by deception or breaking rules.
Cheat	person who cheats.
Cheat	trick, deception.
Cheat	Be sexually unfaithful to.
Check	a examine the accuracy or quality of.
Check	make sure, verify.
Check	a stop or slow the motion of; curb. B
Check	Rebuke.
Check	chess directly threaten
Check	us agree on comparison.
Check	us mark with a tick etc.
Check	us deposit
Check	means or act of testing or ensuring accuracy, quality, etc.
Check	a stopping or slowing of motion.
Check	rebuff or rebuke.
Check	person or thing that restrains.
Check	a pattern of small squares.
Check	fabric so patterned.
Check	So patterned.
Check	(also as
Check	) Chess exposure of a king to direct attack.
Check	us restaurant bill.
Check	us
Check	esp. Us token of identification for left luggage etc.
Check	us cards counter used in games.
Check	temporary loss of the scent in hunting.
Check	arrive or register at a hotel, airport, etc.
Check	record the arrival of. Check into register one's arrival at
Check	. Check off mark on a list etc. As having been examined. Check on examine, verify, keep watch on. Check out
Check	leave a hotel etc. With due formalities.
Check	esp. Us investigate. Check up make sure, verify. Check up on = check on.
Checked	Having a check pattern.
Checker1	Person etc. That examines, esp. In a factory etc.
Checker2	var. Of *chequer.
Checker2	us a (in
Checker2	, usu. Treated as sing.) Draughts.
Checker2	piece used in this game.
Check-in	Act or place of checking in.
Checkmate	(also as
Checkmate	) Chess check from which a king cannot escape.
Checkmate	chess put into checkmate.
Checkmate	frustrate.
Checkout	act of checking out.
Checkout	pay-desk in a supermarket etc.
Checkpoint	Place, esp.
Checkpoint	barrier or entrance, where documents, vehicles, etc., are inspected.
Check-up	Thorough
Check-up	examination.
Cheddar	kind of firm smooth cheese.
Cheek	a side of the face below the eye.
Cheek	side-wall of the mouth.
Cheek	a impertinence; cool confidence.
Cheek	impertinent speech.
Cheek	buttock.
Cheek	Be impertinent to.
Cheek-bone	Bone below the eye.
Cheeky	impertinent.
Cheeky	Cheekiness
Cheep	Weak shrill cry of a young bird.
Cheep	Make such a cry.
Cheer	shout of encouragement or applause.
Cheer	mood, disposition
Cheer	(in
Cheer	; as
Cheer	expressing good wishes on parting or before drinking.
Cheer	expressing gratitude.
Cheer	a applaud with shouts.
Cheer	urge with shouts.
Cheer	shout for joy.
Cheer	gladden; comfort.
Cheerful	in good spirits, noticeably happy.
Cheerful	bright, pleasant.
Cheerful	Cheerfulness
Cheerio	Expressing good wishes on parting.
Cheer-leader	Person who leads cheers of applause etc.
Cheerless	Gloomy, dreary.
Cheery	cheerful.
Cheery	Cheeriness
Cheese	a food made from curds of milk.
Cheese	cake of this with rind.
Cheese	conserve with the consistency of soft cheese.
Cheeseburger	Hamburger with cheese in or on it.
Cheesecake	tart filled with sweetened curds etc.
Cheesecake	portrayal of women in a sexually stimulating manner.
Cheesecloth	Thin loosely-woven cloth.
Cheesed	bored, fed up.
Cheese-paring	Stingy.
Cheese plant	Climbing plant with holes in its leaves.
Cheetah	Swift-running spotted leopard-like feline.
Chef	cook, esp. The chief cook in a restaurant.
Chelsea bun	Currant bun in the form of a flat spiral.
Chelsea pensioner	Inmate of the chelsea royal hospital for old or disabled soldiers.
Chemical	Of, made by, or employing chemistry or chemicals.
Chemical	Substance obtained or used in chemistry.
Chemical engineering	Creation and operation of industrial chemical plants.
Chemical warfare	Warfare using poison gas and other chemicals.
Chemise	Hist. Woman's loose-fitting undergarment or dress.
Chemist	dealer in medicinal drugs etc.
Chemist	expert in chemistry.
Chemistry	branch of science dealing with the elements and the compounds they form and the reactions they undergo.
Chemistry	chemical composition and properties of a substance.
Chemistry	Sexual attraction.
Chemotherapy	Treatment of disease, esp. Cancer, by chemical substances.
Chenille	tufty velvety cord or yarn.
Chenille	fabric of this.
Cheque	written order to a bank to pay the stated sum from the drawer's account.
Cheque	printed form on which this is written.
Cheque-book	Book of forms for writing cheques.
Cheque card	Card issued by a bank to guarantee the honouring of cheques up to a stated amount.
Cheque card	Card issued by a bank to guarantee the honouring of cheques up to a stated amount.
Chequer	(often in
Chequer	) Pattern of squares often alternately coloured.
Chequer	var. Of *checker2
Chequer	mark with chequers.
Chequer	variegate; break the uniformity of.
Chequer	(as chequered
Chequer	) With varied fortunes
Cherish	protect or tend lovingly.
Cherish	hold dear, cling to
Cheroot	Cigar with both ends open.
Cherry	a small soft round stone-fruit.
Cherry	tree bearing this or grown for its ornamental flowers.
Cherry	its wood.
Cherry	light red colour.
Cherry	Of light red colour.
Cherub	angelic being of the second order of the celestial hierarchy.
Cherub	a representation of a winged child or its head.
Cherub	beautiful or innocent child.
Chervil	Herb used for flavouring.
Cheshire	kind of firm crumbly cheese.
Chess	Game for two with
Chess	6 men each, played on a chessboard.
Chessboard	Chequered board of
Chessboard	4 squares on which chess and draughts are played.
Chessman	Any of the
Chessman	2 pieces and pawns with which chess is played.
Chest	large strong box.
Chest	a part of the body enclosed by the ribs.
Chest	front surface of the body from the neck to the bottom of the ribs.
Chest	small cabinet for medicines etc.
Chest	Disclose a secret etc. To relieve one's anxiety about it.
Chesterfield	Sofa with arms and back of the same height and curved outwards at the top.
Chestnut	a glossy hard brown edible nut.
Chestnut	tree bearing it.
Chestnut	wood of any chestnut.
Chestnut	horse of a reddish-brown colour.
Chestnut	Stale joke etc.
Chestnut	reddish-brown.
Chestnut	Reddish-brown.
Chest of drawers	Piece of furniture consisting of a set of drawers in a frame.
Chesty	Inclined to or symptomatic of chest disease.
Chesty	Chestiness
Cheval-glass	Tall mirror swung on an upright frame.
Chevalier	Member of certain orders of knighthood, or of the french legion of honour etc.
Chevron	V-shaped line or stripe.
Chew	Work
Chew	Between the teeth.
Chew	act of chewing.
Chew	chewy sweet.
Chew	work continuously between the teeth.
Chew	think about. Chew over
Chew	discuss, talk over.
Chew	think about.
Chewing-gum	Flavoured gum for chewing.
Chewy	needing much chewing.
Chewy	suitable for chewing.
Chez	At the home of.
Chi	Twenty-second letter of the greek alphabet
Chianti	red wine from the chianti area in italy.
Chiaroscuro	treatment of light and shade in drawing and painting.
Chiaroscuro	use of contrast in literature etc.
Chic	stylish, elegant.
Chic	Stylishness, elegance.
Chicane	artificial barrier or obstacle on a motor racecourse.
Chicane	chicanery.
Chicane	use chicanery.
Chicane	Cheat
Chicanery	clever but misleading talk.
Chicanery	trickery, deception.
Chick	young bird.
Chick	young woman.
Chicken	a domestic fowl.
Chicken	its flesh as food.
Chicken	young bird of a domestic fowl.
Chicken	youthful person
Chicken	Cowardly.
Chicken	Withdraw through cowardice.
Chicken-feed	food for poultry.
Chicken-feed	Trivial amount, esp. Of money.
Chickenpox	Infectious disease, esp. Of children, with a rash of small blisters.
Chicken-wire	Light wire netting with a hexagonal mesh.
Chick-pea	Yellow pea-like seed used as a vegetable.
Chickweed	Small weed with tiny white flowers.
Chicle	Milky juice of a tropical tree, used in chewing-gum.
Chicory	plant with leaves used in salads.
Chicory	its root, roasted and ground and used with or instead of coffee.
Chicory	esp. Us
Chide	(past chided or chid;
Chide	Chided or chidden)
Chide	scold, rebuke.
Chief	a leader or ruler.
Chief	head of a tribe, clan, etc.
Chief	head of a department; highest official.
Chief	first in position, importance, influence, etc.
Chief	prominent, leading.
Chief constable	Head of the police force of a county etc.
Chiefly	Above all; mainly but not exclusively.
Chief of staff	Senior staff officer of a service or command.
Chieftain	Leader of a tribe, clan, etc.
Chiffchaff	Small european warbler.
Chiffon	Light diaphanous fabric of silk, nylon, etc.
Chignon	Coil of hair at the back of a woman's head.
Chihuahua	Dog of a very small smooth-haired breed.
Chilblain	Painful itching swelling on a hand, foot, etc., caused by exposure to cold.
Child	a young human being below the age of puberty.
Child	unborn or newborn human being.
Child	one's son or daughter.
Child	descendant, follower, or product of.
Child	childish person.
Child abuse	Maltreatment of a child, esp. By physical violence or sexual molestation.
Child benefit	Regular payment by the state to the parents of a child up to a certain age.
Childbirth	Giving birth to a child.
Child care	The care of children, esp. By a local authority.
Childhood	State or period of being a child.
Childish	of, like, or proper to a child.
Childish	immature, silly.
Childish	Childishness
Childlike	Having the good qualities of a child, such as innocence, frankness, etc.
Child-minder	Person looking after children for payment.
Child's play	Easy task.
Chill	a unpleasant cold sensation; lowered body temperature.
Chill	feverish cold.
Chill	unpleasant coldness
Chill	depressing influence.
Chill	coldness of manner.
Chill	make or become cold.
Chill	depress; horrify.
Chill	preserve
Chill	by cooling.
Chill	Literary chilly.
Chilli	hot-tasting dried red capsicum pod.
Chilli con carne	Dish of chilli-flavoured mince and beans.
Chilly	somewhat cold.
